Parcela;Especie;DAP
1;Myrsine umbellata;12,73239545
1;Allophylus edulis;8,594366927
1;Myrsine umbellata;7,002817496
1;Myrsine umbellata;7,639437268
1;Myrsine umbellata;6,68450761
1;Eugenia pluriflora;5,252113122
1;Solanum sanctaecatharinae;6,725986566
1;Podocarpus lambertii;17,44338176
1;Matayba elaeagnoides;16,71126902
1;Gochnatia polymorpha;14,96056465
1;Solanum sanctaecatharinae;19,8625369
1;Araucaria angustifolia;4,965634224
1;Casearia decandra;4,774648293
1;Podocarpus lambertii;7,130141451
1;Zanthoxylum kleinii;5,379437077
1;Jacaranda puberula;9,45380362
1;Calyptranthes concinna;5,411268065
1;Duranta vestita;5,315775099
1;Jacaranda puberula;9,230986699
1;Myrcia laruotteana;15,96142382
1;Lithraea brasiliensis;19,79887492
1;Lithraea brasiliensis;16,80676199
1;Duranta vestita;9,421972631
1;Casearia decandra;8,350464166
1;Jacaranda puberula;10,37690229
1;Ilex theezans;9,390141642
1;Ocotea pulchella;26,26056561
1;Casearia decandra;8,276057041
1;Podocarpus lambertii;9,071831756
1;Casearia decandra;6,68450761
1;Gochnatia polymorpha;33,76469773
1;Casearia decandra;5,825070917
1;Cupania vernalis;5,092958179
1;Jacaranda puberula;5,092958179
1;Maytenus dasyclada;11,26124415
1;Matayba elaeagnoides;6,079718826
1;Matayba elaeagnoides;24,82817112
1;Casearia decandra;8,244226052
1;Lithraea brasiliensis;28,17042493
1;Gochnatia polymorpha;23,23662169
1;Erythroxylum deciduum;24,35070629
1;Zanthoxylum kleinii;5,156620156
1;Jacaranda puberula;11,4591559
1;Jacaranda puberula;11,80929678
1;Lithraea brasiliensis;5,952394872
1;Ocotea pulchella;28,71155173
2;Podocarpus lambertii;7,543944303
2;Jacaranda puberula;14,96056465
2;Solanum sanctaecatharinae;5,411268065
2;Eugenia pluriflora;13,05070533
2;Myrsine umbellata;10,56788822
2;Podocarpus lambertii;25,74660686
2;Calyptranthes concinna;6,175211792
2;Eugenia pluriflora;9,071831756
2;Gochnatia polymorpha;32,21296048
2;Scutia buxifolia;9,89943746
2;Calyptranthes concinna;12,16089579
2;Casearia obliqua;7,161972439
2;Cupania vernalis;26,36107494
2;Podocarpus lambertii;8,371550007
2;Dasyphyllum spinescens;63,34366735
2;Cupania vernalis;21,11601665
2;Podocarpus lambertii;20,53098766
2;Cupania vernalis;15,40619849
2;Drimys brasiliensis;7,957747155
2;Myrsine umbellata;20,37183272
2;Ocotea pulchella;42,97183463
2;Lithraea brasiliensis;27,50197417
2;Araucaria angustifolia;42,2397219
2;Eugenia pluriflora;6,047887837
2;Jacaranda puberula;7,703099246
2;Eugenia pluriflora;5,888732894
2;Casearia decandra;6,589014644
2;Araucaria angustifolia;12,41408556
2;Jacaranda puberula;12,73239545
2;Jacaranda puberula;6,366197724
2;Calyptranthes concinna;5,220282133
2;Jacaranda puberula;7,543944303
2;Jacaranda puberula;6,238873769
2;Lamanonia ternata;5,195866567
2;Jacaranda puberula;11,30000096
3;Drimys brasiliensis;6,047887837
3;Duranta vestita;11,84112777
3;Jacaranda puberula;6,270704758
3;Jacaranda puberula;13,68732511
3;Solanum sanctaecatharinae;12,28676161
3;Jacaranda puberula;19,25774811
3;Solanum sanctaecatharinae;13,14311503
3;Solanum sanctaecatharinae;5,98422586
3;Xylosma tweediana;6,525352667
3;Jacaranda puberula;10,79070514
3;Jacaranda puberula;8,148733086
3;Jacaranda puberula;20,18084678
3;Lithraea brasiliensis;21,8042272
3;Myrcia laruotteana;4,997465213
3;Jacaranda puberula;9,390141642
3;Eugenia pluriflora;6,175211792
3;Cinnamomum amoenum;45,32732779
3;Casearia decandra;10,18591636
3;Myrrhinium atropurpureum;15,40619849
3;Myrcia hatschbachii;7,671268257
3;Jacaranda puberula;19,41690306
3;Jacaranda puberula;11,01352206
3;Jacaranda puberula;8,75352187
3;Podocarpus lambertii;31,0352139
3;Lamanonia ternata;63,66197724
3;Banara tomentosa;5,092958179
3;Myrcia hatschbachii;9,071831756
3;Cupania vernalis;9,772113506
3;Eugenia pluriflora;29,88929831
3;Solanum sanctaecatharinae;12,41408556
3;Jacaranda puberula;12,50957853
4;Araucaria angustifolia;11,77746579
4;Casearia obliqua;22,28169203
4;Eugenia pluriflora;5,156620156
4;Cupania vernalis;14,64225476
4;Myrsine umbellata;5,98422586
4;Jacaranda puberula;12,63690248
4;Prunus myrtifolia;15,27887454
4;Solanum sanctaecatharinae;18,14366351
4;Podocarpus lambertii;5,092958179
4;Jacaranda puberula;11,30000096
4;Podocarpus lambertii;5,188451145
4;Jacaranda puberula;13,75098708
4;Coutarea hexandra;14,32394488
4;Casearia obliqua;29,76197436
4;Jacaranda puberula;11,14084602
4;Jacaranda puberula;17,12507188
4;Blepharocalyx salicifolius;5,092958179
4;Jacaranda puberula;9,867606472
4;Jacaranda puberula;14,64225476
4;Calyptranthes concinna;8,292812562
4;Casearia obliqua;6,843662553
4;Jacaranda puberula;8,435211984
4;Jacaranda puberula;15,59718442
4;Jacaranda puberula;15,75633937
4;Jacaranda puberula;5,729577951
4;Casearia obliqua;20,21267777
4;Jacaranda puberula;6,175211792
4;Jacaranda puberula;10,9180291
4;Casearia obliqua;5,029296202
4;Casearia obliqua;10,6315502
4;Jacaranda puberula;7,416620348
4;Jacaranda puberula;5,411268065
4;Jacaranda puberula;6,016056849
4;Araucaria angustifolia;19,22591713
4;Casearia obliqua;15,85183233
4;Banara tomentosa;9,62880829
4;Myrcia laruotteana;9,612958563
4;Drimys brasiliensis;5,443099054
4;Casearia obliqua;7,448451337
4;Jacaranda puberula;5,474930042
4;Jacaranda puberula;17,60253671
4;Myrsine umbellata;24,6053542
4;Cupania vernalis;21,13577644
4;Casearia decandra;5,029296202
4;Jacaranda puberula;6,68450761
4;Calyptranthes concinna;11,30000096
4;Casearia obliqua;7,957747155
4;Casearia obliqua;9,262817688
4;Araucaria angustifolia;5,53859202
4;Eugenia pluriflora;9,931268449
4;Jacaranda puberula;7,894085177
4;Jacaranda puberula;12,39256058
4;Araucaria angustifolia;5,156620156
5;Casearia decandra;9,969250174
5;Myrcia hatschbachii;6,602456062
5;Casearia obliqua;20,30293142
5;Casearia decandra;11,14084602
5;Jacaranda puberula;9,740282517
5;Casearia decandra;5,220282133
5;Matayba elaeagnoides;43,09915859
5;Jacaranda puberula;8,75352187
5;Jacaranda puberula;15,59718442
5;Casearia decandra;9,135493733
5;Matayba elaeagnoides;33,67718596
5;Lamanonia ternata;9,708451529
5;Cupania vernalis;5,443099054
5;Myrcianthes gigantea;5,06112719
5;Myrcia hatschbachii;10,28140932
5;Matayba elaeagnoides;34,05915782
5;Casearia decandra;5,411268065
5;Jacaranda puberula;16,2338042
5;Jacaranda puberula;7,970215135
5;Jacaranda puberula;5,411268065
5;Jacaranda puberula;11,65014183
5;Solanum sanctaecatharinae;35,30056638
5;Jacaranda puberula;12,70056446
5;Araucaria angustifolia;35,01408748
5;Annona rugulosa;5,347606088
5;Banara tomentosa;8,276057041
5;Lithraea brasiliensis;22,15436808
5;Araucaria angustifolia;5,602253997
5;Jacaranda puberula;13,36901522
5;Matayba elaeagnoides;21,8042272
5;Araucaria angustifolia;21,64507226
5;Araucaria angustifolia;7,766761223
5;Araucaria angustifolia;12,06394469
5;Eugenia pluriflora;6,047887837
5;Araucaria angustifolia;33,26338311
5;Casearia decandra;10,60358984
5;Casearia decandra;11,97492622
5;Myrsine umbellata;16,67943804
5;Banara tomentosa;5,697746963
5;Zanthoxylum rhoifolium;16,2338042
5;Jacaranda puberula;5,697746963
5;Jacaranda puberula;16,2338042
5;Ocotea pulchella;7,575775291
5;Jacaranda puberula;7,894085177
5;Jacaranda puberula;10,21774735
5;Jacaranda puberula;16,07464925
5;Jacaranda puberula;12,70056446
5;Jacaranda puberula;11,80929678
5;Jacaranda puberula;14,64225476
5;Jacaranda puberula;7,416620348
5;Jacaranda puberula;8,951528254
5;Casearia decandra;7,289296394
5;Jacaranda puberula;5,411268065
6;Campomanesia xanthocarpa;18,1754945
6;Casearia decandra;9,167324722
6;Banara tomentosa;5,124789168
6;Podocarpus lambertii;11,48203369
6;Casearia decandra;5,411268065
6;Blepharocalyx salicifolius;11,14084602
6;Araucaria angustifolia;50,99324377
6;Casearia decandra;6,46169069
6;Blepharocalyx salicifolius;10,43886583
6;Myrcia hatschbachii;22,86876548
6;Lithraea brasiliensis;45,10451087
6;Drimys brasiliensis;6,68450761
6;Drimys brasiliensis;8,05324012
6;Casearia obliqua;8,958769402
6;Casearia decandra;5,729577951
6;Drimys brasiliensis;4,997465213
6;Casearia decandra;20,99151736
6;Dasyphyllum tomentosum;46,31408844
6;Calyptranthes concinna;9,485634608
6;Calyptranthes concinna;22,24626326
6;Campomanesia xanthocarpa;21,9293566
6;Eugenia pluriflora;6,270704758
7;Lithraea brasiliensis;27,02450934
